WP_082727382	Bacteria; Cyanobacteria; Nostocales; Nostocaceae; Nostoc
WP_057790566	Bacteria; Proteobacteria; Gammaproteobacteria; Alteromonadales; Alteromonadaceae; Alteromonas
WP_004674139	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium
WP_032978962	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae
WP_034801216	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Ensifer
WP_038490071	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
WP_054148930	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
WP_003532339	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales
WP_037413393	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Sinorhizobium
WP_024957264	Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas
WP_037090792	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae; Rhizobium
WP_003511757	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
WP_077240701	Bacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces
WP_019856966	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium
WP_010914867	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium
WP_004440341	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales
WP_003521085	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
WP_065115034	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Rhizobiaceae
WP_027164159	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Phyllobacteriaceae; Mesorhizobium
WP_080048673	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
WP_003255398	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
WP_034109506	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas
WP_014129777	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; Pelagibacterium; Pelagibacterium halotolerans
WP_066560971	Bacteria; Proteobacteria; Alphaproteobacteria; Sphingomonadales; Sphingomonadaceae
WP_003610206	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylocystaceae; Methylosinus
WP_042508889	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum; Methylorubrum extorquens
WP_015823256	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Methylobacteriaceae; Methylorubrum
WP_041805175	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Bradyrhizobiaceae; Rhodopseudomonas; Rhodopseudomonas pseudopalustris
